Wavelength (nm),266910 %T (Unpolarized),,,,,
404,9.24E+01,,,,,
404.5,9.32E+01,,,,,
405,9.41E+01,,,,,
405.5,9.40E+01,,,,,
406,9.39E+01,,,,,
406.5,9.39E+01,,,,,
407,9.40E+01,,,,,
407.5,9.46E+01,,,,,
408,9.52E+01,,,,,
408.5,9.45E+01,,,,,
409,9.39E+01,,,,,
409.5,9.39E+01,,,,,
410,9.40E+01,,,,,
410.5,9.37E+01,,,,,
411,9.34E+01,,,,,
411.5,9.27E+01,,,,,
412,9.21E+01,,,,,
412.5,8.52E+01,,,,,
413,7.84E+01,,,,,
413.5,4.90E+01,,,,,
414,1.97E+01,,,,,
414.5,1.00E+01,,,,,
415,3.26E-01,,,,,
415.5,1.71E-01,,,,,
416,1.57E-02,,,,,
416.5,8.26E-03,,,,,
417,8.79E-04,,,,,
417.5,5.06E-04,,,,,
418,1.32E-04,,,,,
418.5,7.17E-05,,,,,
419,1.09E-05,,,,,
419.5,1.49E-05,,,,,
420,1.89E-05,,,,,
420.5,1.19E-05,,,,,
421,4.97E-06,,,,,
421.5,1.28E-05,,,,,
422,2.06E-05,,,,,
422.5,2.10E-05,,,,,
423,2.14E-05,,,,,
423.5,6.92E-06,,,,,
424,-7.53E-06,,,,,
424.5,3.51E-06,,,,,
425,1.45E-05,,,,,
425.5,2.43E-06,,,,,
426,-9.70E-06,,,,,
426.5,1.40E-05,,,,,
427,3.77E-05,,,,,
427.5,2.22E-05,,,,,
428,6.62E-06,,,,,
428.5,9.81E-06,,,,,
429,1.30E-05,,,,,
429.5,1.12E-07,,,,,
430,-1.28E-05,,,,,
430.5,-8.82E-06,,,,,
431,-4.87E-06,,,,,
431.5,8.32E-06,,,,,
432,2.15E-05,,,,,
432.5,1.31E-05,,,,,
433,4.74E-06,,,,,
433.5,4.96E-06,,,,,
434,5.19E-06,,,,,
434.5,5.97E-06,,,,,
435,6.74E-06,,,,,
435.5,-1.66E-06,,,,,
436,-1.01E-05,,,,,
436.5,3.36E-06,,,,,
437,1.68E-05,,,,,
437.5,8.43E-06,,,,,
438,7.66E-08,,,,,
438.5,3.44E-06,,,,,
439,6.81E-06,,,,,
439.5,1.59E-05,,,,,
440,2.51E-05,,,,,
440.5,1.30E-05,,,,,
441,9.27E-07,,,,,
441.5,6.97E-06,,,,,
442,1.30E-05,,,,,
442.5,2.05E-05,,,,,
443,2.81E-05,,,,,
443.5,2.30E-05,,,,,
444,1.80E-05,,,,,
444.5,8.81E-06,,,,,
445,-3.78E-07,,,,,
445.5,5.05E-06,,,,,
446,1.05E-05,,,,,
446.5,1.14E-05,,,,,
447,1.24E-05,,,,,
447.5,1.15E-05,,,,,
448,1.06E-05,,,,,
448.5,1.07E-05,,,,,
449,1.08E-05,,,,,
449.5,1.32E-05,,,,,
450,1.56E-05,,,,,
450.5,1.15E-05,,,,,
451,7.51E-06,,,,,
451.5,8.45E-06,,,,,
452,9.39E-06,,,,,
452.5,7.45E-06,,,,,
453,5.51E-06,,,,,
453.5,4.83E-06,,,,,
454,4.14E-06,,,,,
454.5,7.95E-06,,,,,
455,1.18E-05,,,,,
455.5,4.00E-06,,,,,
456,-3.77E-06,,,,,
456.5,-6.56E-07,,,,,
457,2.46E-06,,,,,
457.5,2.79E-06,,,,,
458,3.12E-06,,,,,
458.5,3.19E-06,,,,,
459,3.27E-06,,,,,
459.5,2.95E-06,,,,,
460,2.63E-06,,,,,
460.5,-4.06E-06,,,,,
461,-1.07E-05,,,,,
461.5,-1.36E-06,,,,,
462,8.02E-06,,,,,
462.5,8.78E-06,,,,,
463,9.54E-06,,,,,
463.5,1.31E-05,,,,,
464,1.68E-05,,,,,
464.5,1.40E-05,,,,,
465,1.12E-05,,,,,
465.5,6.15E-06,,,,,
466,1.06E-06,,,,,
466.5,-8.28E-09,,,,,
467,-1.08E-06,,,,,
467.5,5.34E-06,,,,,
468,1.18E-05,,,,,
468.5,5.45E-06,,,,,
469,-8.57E-07,,,,,
469.5,9.86E-06,,,,,
470,2.06E-05,,,,,
470.5,2.22E-05,,,,,
471,2.37E-05,,,,,
471.5,2.40E-05,,,,,
472,2.43E-05,,,,,
472.5,1.55E-05,,,,,
473,6.63E-06,,,,,
473.5,9.71E-06,,,,,
474,1.28E-05,,,,,
474.5,2.04E-05,,,,,
475,2.79E-05,,,,,
475.5,3.66E-05,,,,,
476,4.52E-05,,,,,
476.5,7.22E-05,,,,,
477,9.92E-05,,,,,
477.5,1.73E-04,,,,,
478,2.47E-04,,,,,
478.5,6.33E-04,,,,,
479,1.02E-03,,,,,
479.5,2.85E-03,,,,,
480,4.68E-03,,,,,
480.5,1.65E-02,,,,,
481,2.83E-02,,,,,
481.5,1.43E-01,,,,,
