Wavelength (nm),266910 %T (Unpolarized),,,,,
757.5,8.71E-05,,,,,
758,7.59E-05,,,,,
758.5,3.79E-05,,,,,
759,2.50E-08,,,,,
759.5,6.37E-05,,,,,
760,1.27E-04,,,,,
760.5,9.00E-05,,,,,
761,5.26E-05,,,,,
761.5,1.19E-05,,,,,
762,-2.88E-05,,,,,
762.5,-1.53E-05,,,,,
763,-1.68E-06,,,,,
763.5,-7.20E-07,,,,,
764,2.42E-07,,,,,
764.5,-3.61E-05,,,,,
765,-7.25E-05,,,,,
765.5,1.51E-05,,,,,
766,1.03E-04,,,,,
766.5,6.59E-05,,,,,
767,2.92E-05,,,,,
767.5,4.97E-06,,,,,
768,-1.93E-05,,,,,
768.5,7.82E-06,,,,,
769,3.49E-05,,,,,
769.5,3.01E-05,,,,,
770,2.52E-05,,,,,
770.5,6.19E-05,,,,,
771,9.86E-05,,,,,
771.5,4.05E-05,,,,,
772,-1.76E-05,,,,,
772.5,-3.39E-06,,,,,
773,1.08E-05,,,,,
773.5,3.82E-05,,,,,
774,6.56E-05,,,,,
774.5,9.41E-05,,,,,
775,1.23E-04,,,,,
775.5,7.26E-05,,,,,
776,2.26E-05,,,,,
776.5,-7.79E-06,,,,,
777,-3.82E-05,,,,,
777.5,-5.52E-05,,,,,
778,-7.22E-05,,,,,
778.5,-1.84E-05,,,,,
779,3.54E-05,,,,,
779.5,2.42E-05,,,,,
780,1.31E-05,,,,,
780.5,-1.82E-05,,,,,
781,-4.96E-05,,,,,
781.5,-2.66E-05,,,,,
782,-3.64E-06,,,,,
782.5,1.72E-05,,,,,
783,3.80E-05,,,,,
783.5,-2.37E-05,,,,,
784,-8.54E-05,,,,,
784.5,-5.95E-05,,,,,
785,-3.36E-05,,,,,
785.5,-2.35E-05,,,,,
786,-1.35E-05,,,,,
786.5,6.68E-05,,,,,
787,1.47E-04,,,,,
787.5,3.36E-05,,,,,
788,-7.99E-05,,,,,
788.5,-2.19E-06,,,,,
789,7.55E-05,,,,,
789.5,3.01E-05,,,,,
790,-1.53E-05,,,,,
790.5,1.80E-05,,,,,
791,5.13E-05,,,,,
791.5,8.85E-06,,,,,
792,-3.36E-05,,,,,
792.5,-3.68E-05,,,,,
793,-4.00E-05,,,,,
793.5,-9.36E-08,,,,,
794,3.98E-05,,,,,
794.5,4.54E-05,,,,,
795,5.10E-05,,,,,
795.5,1.01E-04,,,,,
796,1.52E-04,,,,,
796.5,3.64E-05,,,,,
797,-7.92E-05,,,,,
797.5,-2.84E-05,,,,,
798,2.25E-05,,,,,
798.5,8.94E-05,,,,,
799,1.56E-04,,,,,
799.5,1.30E-04,,,,,
800,1.05E-04,,,,,
800.5,1.51E-04,,,,,
801,1.97E-04,,,,,
801.5,2.43E-04,,,,,
802,2.90E-04,,,,,
802.5,2.33E-04,,,,,
803,1.77E-04,,,,,
803.5,1.76E-04,,,,,
804,1.74E-04,,,,,
804.5,1.69E-04,,,,,
805,1.64E-04,,,,,
805.5,1.55E-04,,,,,
806,1.46E-04,,,,,
806.5,1.32E-04,,,,,
807,1.17E-04,,,,,
807.5,1.50E-04,,,,,
808,1.83E-04,,,,,
808.5,1.65E-04,,,,,
809,1.46E-04,,,,,
809.5,1.49E-04,,,,,
810,1.51E-04,,,,,
810.5,1.98E-04,,,,,
811,2.45E-04,,,,,
811.5,2.58E-04,,,,,
812,2.72E-04,,,,,
812.5,1.92E-04,,,,,
813,1.12E-04,,,,,
813.5,1.26E-04,,,,,
814,1.40E-04,,,,,
814.5,1.32E-04,,,,,
815,1.24E-04,,,,,
815.5,1.38E-04,,,,,
816,1.52E-04,,,,,
816.5,1.46E-04,,,,,
817,1.40E-04,,,,,
817.5,1.53E-04,,,,,
818,1.67E-04,,,,,
818.5,1.45E-04,,,,,
819,1.23E-04,,,,,
819.5,1.49E-04,,,,,
820,1.76E-04,,,,,
820.5,1.69E-04,,,,,
821,1.61E-04,,,,,
821.5,1.36E-04,,,,,
822,1.11E-04,,,,,
822.5,1.11E-04,,,,,
823,1.10E-04,,,,,
823.5,1.02E-04,,,,,
824,9.35E-05,,,,,
824.5,1.19E-04,,,,,
825,1.44E-04,,,,,
825.5,9.75E-05,,,,,
826,5.15E-05,,,,,
826.5,1.04E-04,,,,,
827,1.56E-04,,,,,
827.5,1.27E-04,,,,,
828,9.84E-05,,,,,
828.5,9.61E-05,,,,,
829,9.38E-05,,,,,
829.5,1.07E-04,,,,,
830,1.20E-04,,,,,
830.5,1.09E-04,,,,,
831,9.92E-05,,,,,
831.5,1.14E-04,,,,,
832,1.29E-04,,,,,
832.5,1.32E-04,,,,,
833,1.35E-04,,,,,
833.5,1.47E-04,,,,,
834,1.60E-04,,,,,
834.5,1.53E-04,,,,,
835,1.47E-04,,,,,
835.5,1.58E-04,,,,,
836,1.69E-04,,,,,
836.5,1.43E-04,,,,,
837,1.18E-04,,,,,
837.5,1.28E-04,,,,,
838,1.38E-04,,,,,
838.5,1.38E-04,,,,,
839,1.38E-04,,,,,
839.5,1.28E-04,,,,,
840,1.19E-04,,,,,
840.5,1.22E-04,,,,,
841,1.26E-04,,,,,
841.5,1.40E-04,,,,,
842,1.55E-04,,,,,
842.5,1.33E-04,,,,,
843,1.11E-04,,,,,
843.5,1.59E-04,,,,,
844,2.07E-04,,,,,
844.5,2.08E-04,,,,,
845,2.09E-04,,,,,
845.5,2.15E-04,,,,,
846,2.21E-04,,,,,
846.5,2.41E-04,,,,,
847,2.61E-04,,,,,
847.5,3.01E-04,,,,,
848,3.41E-04,,,,,
848.5,3.54E-04,,,,,
849,3.66E-04,,,,,
849.5,3.96E-04,,,,,
850,4.25E-04,,,,,
850.5,4.25E-04,,,,,
851,4.25E-04,,,,,
851.5,4.28E-04,,,,,
852,4.32E-04,,,,,
852.5,4.41E-04,,,,,
853,4.50E-04,,,,,
853.5,4.54E-04,,,,,
854,4.57E-04,,,,,
854.5,4.32E-04,,,,,
855,4.07E-04,,,,,
855.5,3.81E-04,,,,,
856,3.56E-04,,,,,
856.5,3.46E-04,,,,,
857,3.36E-04,,,,,
857.5,3.12E-04,,,,,
858,2.88E-04,,,,,
858.5,2.74E-04,,,,,
859,2.59E-04,,,,,
859.5,2.55E-04,,,,,
860,2.51E-04,,,,,
860.5,2.93E-04,,,,,
861,3.34E-04,,,,,
861.5,3.58E-04,,,,,
862,3.82E-04,,,,,
862.5,4.17E-04,,,,,
863,4.51E-04,,,,,
863.5,5.08E-04,,,,,
864,5.64E-04,,,,,
864.5,5.97E-04,,,,,
865,6.31E-04,,,,,
865.5,6.79E-04,,,,,
866,7.27E-04,,,,,
866.5,7.80E-04,,,,,
867,8.33E-04,,,,,
867.5,8.96E-04,,,,,
868,9.59E-04,,,,,
868.5,1.01E-03,,,,,
869,1.06E-03,,,,,
869.5,1.08E-03,,,,,
870,1.10E-03,,,,,
870.5,1.06E-03,,,,,
871,1.02E-03,,,,,
871.5,9.86E-04,,,,,
872,9.53E-04,,,,,
872.5,9.05E-04,,,,,
873,8.56E-04,,,,,
873.5,8.08E-04,,,,,
874,7.60E-04,,,,,
874.5,7.00E-04,,,,,
875,6.40E-04,,,,,
875.5,5.86E-04,,,,,
876,5.31E-04,,,,,
876.5,4.65E-04,,,,,
877,3.99E-04,,,,,
877.5,3.56E-04,,,,,
878,3.13E-04,,,,,
878.5,2.99E-04,,,,,
879,2.85E-04,,,,,
879.5,2.32E-04,,,,,
880,1.79E-04,,,,,
880.5,1.78E-04,,,,,
881,1.78E-04,,,,,
881.5,1.61E-04,,,,,
882,1.45E-04,,,,,
882.5,1.46E-04,,,,,
883,1.48E-04,,,,,
883.5,1.31E-04,,,,,
884,1.15E-04,,,,,
884.5,1.05E-04,,,,,
885,9.54E-05,,,,,
885.5,1.10E-04,,,,,
886,1.24E-04,,,,,
886.5,1.31E-04,,,,,
887,1.38E-04,,,,,
887.5,1.43E-04,,,,,
888,1.47E-04,,,,,
888.5,1.33E-04,,,,,
889,1.18E-04,,,,,
889.5,1.34E-04,,,,,
890,1.49E-04,,,,,
890.5,1.49E-04,,,,,
891,1.49E-04,,,,,
891.5,1.62E-04,,,,,
892,1.75E-04,,,,,
892.5,1.57E-04,,,,,
893,1.40E-04,,,,,
893.5,1.36E-04,,,,,
894,1.32E-04,,,,,
894.5,1.29E-04,,,,,
895,1.26E-04,,,,,
895.5,1.28E-04,,,,,
896,1.29E-04,,,,,
896.5,1.18E-04,,,,,
897,1.07E-04,,,,,
897.5,1.01E-04,,,,,
898,9.47E-05,,,,,
898.5,9.20E-05,,,,,
899,8.93E-05,,,,,
899.5,1.09E-04,,,,,
900,1.30E-04,,,,,
900.5,8.91E-05,,,,,
901,4.85E-05,,,,,
901.5,4.98E-05,,,,,
902,5.10E-05,,,,,
902.5,4.70E-05,,,,,
903,4.29E-05,,,,,
903.5,4.28E-05,,,,,
904,4.26E-05,,,,,
904.5,5.64E-05,,,,,
905,7.03E-05,,,,,
905.5,6.23E-05,,,,,
906,5.43E-05,,,,,
906.5,6.40E-05,,,,,
907,7.38E-05,,,,,
907.5,6.41E-05,,,,,
908,5.44E-05,,,,,
908.5,5.98E-05,,,,,
909,6.53E-05,,,,,
909.5,6.58E-05,,,,,
910,6.63E-05,,,,,
910.5,6.99E-05,,,,,
911,7.35E-05,,,,,
911.5,6.88E-05,,,,,
912,6.41E-05,,,,,
912.5,6.53E-05,,,,,
913,6.65E-05,,,,,
913.5,7.39E-05,,,,,
914,8.13E-05,,,,,
914.5,6.22E-05,,,,,
915,4.30E-05,,,,,
915.5,5.75E-05,,,,,
916,7.20E-05,,,,,
916.5,8.09E-05,,,,,
917,8.97E-05,,,,,
917.5,8.33E-05,,,,,
918,7.68E-05,,,,,
918.5,6.87E-05,,,,,
919,6.06E-05,,,,,
919.5,7.48E-05,,,,,
920,8.89E-05,,,,,
920.5,7.65E-05,,,,,
921,6.40E-05,,,,,
921.5,6.27E-05,,,,,
922,6.13E-05,,,,,
922.5,7.09E-05,,,,,
923,8.04E-05,,,,,
923.5,7.51E-05,,,,,
924,6.98E-05,,,,,
924.5,7.75E-05,,,,,
925,8.53E-05,,,,,
925.5,6.48E-05,,,,,
926,4.42E-05,,,,,
926.5,6.45E-05,,,,,
927,8.48E-05,,,,,
927.5,6.41E-05,,,,,
928,4.34E-05,,,,,
928.5,4.21E-05,,,,,
929,4.07E-05,,,,,
929.5,3.99E-05,,,,,
930,3.90E-05,,,,,
930.5,6.60E-05,,,,,
931,9.30E-05,,,,,
931.5,6.04E-05,,,,,
932,2.79E-05,,,,,
932.5,2.88E-05,,,,,
933,2.97E-05,,,,,
933.5,2.79E-05,,,,,
934,2.61E-05,,,,,
934.5,5.58E-05,,,,,
935,8.54E-05,,,,,
935.5,9.69E-05,,,,,
936,1.08E-04,,,,,
936.5,7.43E-05,,,,,
937,4.02E-05,,,,,
937.5,4.26E-05,,,,,
938,4.49E-05,,,,,
938.5,4.57E-05,,,,,
939,4.65E-05,,,,,
939.5,5.00E-05,,,,,
940,5.35E-05,,,,,
940.5,8.11E-05,,,,,
941,1.09E-04,,,,,
941.5,8.64E-05,,,,,
942,6.41E-05,,,,,
942.5,6.56E-05,,,,,
943,6.71E-05,,,,,
943.5,5.64E-05,,,,,
944,4.57E-05,,,,,
944.5,5.15E-05,,,,,
945,5.73E-05,,,,,
945.5,6.69E-05,,,,,
946,7.64E-05,,,,,
946.5,7.84E-05,,,,,
947,8.04E-05,,,,,
947.5,9.46E-05,,,,,
948,1.09E-04,,,,,
948.5,1.12E-04,,,,,
949,1.15E-04,,,,,
949.5,1.13E-04,,,,,
950,1.11E-04,,,,,
950.5,1.15E-04,,,,,
951,1.18E-04,,,,,
951.5,1.24E-04,,,,,
952,1.29E-04,,,,,
952.5,1.45E-04,,,,,
953,1.61E-04,,,,,
953.5,1.44E-04,,,,,
954,1.27E-04,,,,,
954.5,1.22E-04,,,,,
955,1.17E-04,,,,,
955.5,9.43E-05,,,,,
956,7.21E-05,,,,,
956.5,6.61E-05,,,,,
957,6.00E-05,,,,,
957.5,7.97E-05,,,,,
958,9.93E-05,,,,,
958.5,9.53E-05,,,,,
959,9.12E-05,,,,,
959.5,1.17E-04,,,,,
960,1.42E-04,,,,,
960.5,9.96E-05,,,,,
961,5.71E-05,,,,,
961.5,8.00E-05,,,,,
962,1.03E-04,,,,,
962.5,1.00E-04,,,,,
963,9.75E-05,,,,,
963.5,8.15E-05,,,,,
964,6.55E-05,,,,,
964.5,9.75E-05,,,,,
965,1.30E-04,,,,,
965.5,1.10E-04,,,,,
966,9.04E-05,,,,,
966.5,9.83E-05,,,,,
967,1.06E-04,,,,,
967.5,8.77E-05,,,,,
968,6.92E-05,,,,,
968.5,7.83E-05,,,,,
969,8.74E-05,,,,,
969.5,1.04E-04,,,,,
970,1.20E-04,,,,,
970.5,1.70E-04,,,,,
971,2.20E-04,,,,,
971.5,2.01E-04,,,,,
972,1.81E-04,,,,,
972.5,2.38E-04,,,,,
973,2.94E-04,,,,,
973.5,3.76E-04,,,,,
974,4.57E-04,,,,,
974.5,6.97E-04,,,,,
975,9.37E-04,,,,,
975.5,1.48E-03,,,,,
976,2.01E-03,,,,,
976.5,2.88E-03,,,,,
977,3.76E-03,,,,,
977.5,4.45E-03,,,,,
978,5.15E-03,,,,,
978.5,5.11E-03,,,,,
979,5.07E-03,,,,,
979.5,4.42E-03,,,,,
980,3.76E-03,,,,,
980.5,3.02E-03,,,,,
981,2.27E-03,,,,,
981.5,1.84E-03,,,,,
982,1.41E-03,,,,,
982.5,1.23E-03,,,,,
983,1.05E-03,,,,,
983.5,9.90E-04,,,,,
984,9.24E-04,,,,,
984.5,8.81E-04,,,,,
985,8.37E-04,,,,,
985.5,8.75E-04,,,,,
986,9.14E-04,,,,,
986.5,9.48E-04,,,,,
987,9.82E-04,,,,,
987.5,1.03E-03,,,,,
988,1.07E-03,,,,,
988.5,1.19E-03,,,,,
989,1.31E-03,,,,,
989.5,1.42E-03,,,,,
990,1.54E-03,,,,,
990.5,1.66E-03,,,,,
991,1.79E-03,,,,,
991.5,1.80E-03,,,,,
992,1.81E-03,,,,,
992.5,1.73E-03,,,,,
993,1.65E-03,,,,,
993.5,1.49E-03,,,,,
994,1.34E-03,,,,,
994.5,1.19E-03,,,,,
995,1.05E-03,,,,,
995.5,9.03E-04,,,,,
996,7.59E-04,,,,,
996.5,6.66E-04,,,,,
997,5.73E-04,,,,,
997.5,5.13E-04,,,,,
998,4.52E-04,,,,,
998.5,4.12E-04,,,,,
999,3.71E-04,,,,,
999.5,3.27E-04,,,,,
1000,2.83E-04,,,,,
1000.5,2.86E-04,,,,,
1001,2.88E-04,,,,,
1001.5,2.47E-04,,,,,
1002,2.06E-04,,,,,
1002.5,2.33E-04,,,,,
1003,2.60E-04,,,,,
1003.5,2.30E-04,,,,,
1004,1.99E-04,,,,,
1004.5,2.04E-04,,,,,
1005,2.09E-04,,,,,
1005.5,1.86E-04,,,,,
1006,1.62E-04,,,,,
1006.5,1.86E-04,,,,,
1007,2.10E-04,,,,,
1007.5,2.39E-04,,,,,
1008,2.68E-04,,,,,
1008.5,2.33E-04,,,,,
1009,1.97E-04,,,,,
1009.5,2.05E-04,,,,,
1010,2.14E-04,,,,,
1010.5,2.08E-04,,,,,
1011,2.03E-04,,,,,
1011.5,2.38E-04,,,,,
1012,2.74E-04,,,,,
1012.5,2.57E-04,,,,,
1013,2.41E-04,,,,,
1013.5,2.58E-04,,,,,
1014,2.76E-04,,,,,
1014.5,2.91E-04,,,,,
1015,3.06E-04,,,,,
1015.5,3.07E-04,,,,,
1016,3.08E-04,,,,,
1016.5,3.78E-04,,,,,
1017,4.49E-04,,,,,
1017.5,4.83E-04,,,,,
1018,5.17E-04,,,,,
1018.5,5.81E-04,,,,,
1019,6.44E-04,,,,,
1019.5,7.41E-04,,,,,
1020,8.38E-04,,,,,
1020.5,9.78E-04,,,,,
1021,1.12E-03,,,,,
1021.5,1.29E-03,,,,,
1022,1.47E-03,,,,,
1022.5,1.69E-03,,,,,
1023,1.91E-03,,,,,
1023.5,2.15E-03,,,,,
1024,2.38E-03,,,,,
1024.5,2.55E-03,,,,,
1025,2.72E-03,,,,,
1025.5,2.74E-03,,,,,
1026,2.76E-03,,,,,
1026.5,2.66E-03,,,,,
1027,2.56E-03,,,,,
1027.5,2.40E-03,,,,,
1028,2.24E-03,,,,,
1028.5,2.07E-03,,,,,
1029,1.91E-03,,,,,
1029.5,1.78E-03,,,,,
1030,1.66E-03,,,,,
1030.5,1.55E-03,,,,,
1031,1.45E-03,,,,,
1031.5,1.37E-03,,,,,
1032,1.29E-03,,,,,
1032.5,1.24E-03,,,,,
1033,1.19E-03,,,,,
1033.5,1.17E-03,,,,,
1034,1.14E-03,,,,,
1034.5,1.13E-03,,,,,
1035,1.11E-03,,,,,
1035.5,1.14E-03,,,,,
1036,1.17E-03,,,,,
1036.5,1.21E-03,,,,,
1037,1.25E-03,,,,,
1037.5,1.25E-03,,,,,
1038,1.25E-03,,,,,
1038.5,1.32E-03,,,,,
1039,1.39E-03,,,,,
1039.5,1.50E-03,,,,,
1040,1.61E-03,,,,,
1040.5,1.70E-03,,,,,
1041,1.80E-03,,,,,
1041.5,2.00E-03,,,,,
1042,2.21E-03,,,,,
1042.5,2.46E-03,,,,,
1043,2.72E-03,,,,,
1043.5,3.15E-03,,,,,
1044,3.58E-03,,,,,
1044.5,4.16E-03,,,,,
1045,4.75E-03,,,,,
1045.5,5.61E-03,,,,,
1046,6.47E-03,,,,,
1046.5,7.48E-03,,,,,
1047,8.50E-03,,,,,
1047.5,9.43E-03,,,,,
1048,1.04E-02,,,,,
1048.5,1.08E-02,,,,,
1049,1.12E-02,,,,,
1049.5,1.08E-02,,,,,
1050,1.04E-02,,,,,
1050.5,9.47E-03,,,,,
1051,8.59E-03,,,,,
1051.5,7.61E-03,,,,,
1052,6.64E-03,,,,,
1052.5,5.87E-03,,,,,
1053,5.10E-03,,,,,
1053.5,4.54E-03,,,,,
1054,3.98E-03,,,,,
1054.5,3.60E-03,,,,,
1055,3.22E-03,,,,,
1055.5,2.96E-03,,,,,
1056,2.71E-03,,,,,
1056.5,2.52E-03,,,,,
1057,2.33E-03,,,,,
1057.5,2.18E-03,,,,,
1058,2.04E-03,,,,,
1058.5,1.97E-03,,,,,
1059,1.91E-03,,,,,
1059.5,1.82E-03,,,,,
1060,1.74E-03,,,,,
1060.5,1.72E-03,,,,,
1061,1.70E-03,,,,,
1061.5,1.65E-03,,,,,
1062,1.60E-03,,,,,
1062.5,1.60E-03,,,,,
1063,1.60E-03,,,,,
1063.5,1.61E-03,,,,,
1064,1.61E-03,,,,,
1064.5,1.66E-03,,,,,
1065,1.71E-03,,,,,
1065.5,1.73E-03,,,,,
1066,1.75E-03,,,,,
1066.5,1.82E-03,,,,,
1067,1.88E-03,,,,,
1067.5,1.97E-03,,,,,
1068,2.06E-03,,,,,
1068.5,2.16E-03,,,,,
1069,2.27E-03,,,,,
1069.5,2.38E-03,,,,,
1070,2.48E-03,,,,,
1070.5,2.64E-03,,,,,
1071,2.80E-03,,,,,
1071.5,3.01E-03,,,,,
1072,3.23E-03,,,,,
1072.5,3.53E-03,,,,,
1073,3.83E-03,,,,,
1073.5,4.20E-03,,,,,
1074,4.56E-03,,,,,
1074.5,5.02E-03,,,,,
1075,5.47E-03,,,,,
1075.5,6.09E-03,,,,,
1076,6.71E-03,,,,,
1076.5,7.41E-03,,,,,
1077,8.12E-03,,,,,
1077.5,8.93E-03,,,,,
1078,9.75E-03,,,,,
1078.5,1.06E-02,,,,,
1079,1.15E-02,,,,,
1079.5,1.21E-02,,,,,
1080,1.28E-02,,,,,
1080.5,1.32E-02,,,,,
1081,1.36E-02,,,,,
1081.5,1.36E-02,,,,,
1082,1.37E-02,,,,,
1082.5,1.34E-02,,,,,
1083,1.31E-02,,,,,
1083.5,1.27E-02,,,,,
1084,1.22E-02,,,,,
1084.5,1.17E-02,,,,,
1085,1.11E-02,,,,,
1085.5,1.06E-02,,,,,
1086,1.00E-02,,,,,
1086.5,9.55E-03,,,,,
1087,9.08E-03,,,,,
1087.5,8.72E-03,,,,,
1088,8.36E-03,,,,,
1088.5,8.04E-03,,,,,
1089,7.73E-03,,,,,
1089.5,7.53E-03,,,,,
1090,7.32E-03,,,,,
1090.5,7.15E-03,,,,,
1091,6.98E-03,,,,,
1091.5,6.87E-03,,,,,
1092,6.76E-03,,,,,
1092.5,6.72E-03,,,,,
1093,6.68E-03,,,,,
1093.5,6.70E-03,,,,,
1094,6.71E-03,,,,,
1094.5,6.76E-03,,,,,
1095,6.82E-03,,,,,
1095.5,6.92E-03,,,,,
1096,7.02E-03,,,,,
1096.5,7.19E-03,,,,,
1097,7.36E-03,,,,,
1097.5,7.58E-03,,,,,
1098,7.79E-03,,,,,
1098.5,8.11E-03,,,,,
1099,8.42E-03,,,,,
1099.5,8.81E-03,,,,,
1100,9.20E-03,,,,,
1100.5,9.71E-03,,,,,
1101,1.02E-02,,,,,
1101.5,1.09E-02,,,,,
1102,1.15E-02,,,,,
1102.5,1.24E-02,,,,,
1103,1.32E-02,,,,,
1103.5,1.43E-02,,,,,
1104,1.53E-02,,,,,
1104.5,1.68E-02,,,,,
1105,1.82E-02,,,,,
1105.5,2.00E-02,,,,,
1106,2.19E-02,,,,,
1106.5,2.44E-02,,,,,
1107,2.69E-02,,,,,
1107.5,3.02E-02,,,,,
1108,3.36E-02,,,,,
1108.5,3.81E-02,,,,,
1109,4.27E-02,,,,,
1109.5,4.89E-02,,,,,
1110,5.52E-02,,,,,
1110.5,6.36E-02,,,,,
1111,7.20E-02,,,,,
1111.5,8.29E-02,,,,,
1112,9.37E-02,,,,,
1112.5,1.07E-01,,,,,
1113,1.20E-01,,,,,
1113.5,1.34E-01,,,,,
1114,1.47E-01,,,,,
1114.5,1.59E-01,,,,,
1115,1.70E-01,,,,,
1115.5,1.76E-01,,,,,
1116,1.82E-01,,,,,
1116.5,1.82E-01,,,,,
1117,1.82E-01,,,,,
1117.5,1.77E-01,,,,,
1118,1.73E-01,,,,,
1118.5,1.65E-01,,,,,
1119,1.58E-01,,,,,
1119.5,1.51E-01,,,,,
1120,1.43E-01,,,,,
1120.5,1.37E-01,,,,,
1121,1.30E-01,,,,,
1121.5,1.25E-01,,,,,
1122,1.20E-01,,,,,
1122.5,1.16E-01,,,,,
1123,1.12E-01,,,,,
1123.5,1.09E-01,,,,,
1124,1.06E-01,,,,,
1124.5,1.05E-01,,,,,
1125,1.03E-01,,,,,
1125.5,1.03E-01,,,,,
1126,1.02E-01,,,,,
1126.5,1.02E-01,,,,,
1127,1.03E-01,,,,,
1127.5,1.04E-01,,,,,
1128,1.05E-01,,,,,
1128.5,1.08E-01,,,,,
1129,1.10E-01,,,,,
1129.5,1.13E-01,,,,,
1130,1.17E-01,,,,,
1130.5,1.21E-01,,,,,
1131,1.26E-01,,,,,
1131.5,1.32E-01,,,,,
1132,1.38E-01,,,,,
1132.5,1.46E-01,,,,,
1133,1.53E-01,,,,,
1133.5,1.64E-01,,,,,
1134,1.74E-01,,,,,
1134.5,1.88E-01,,,,,
1135,2.01E-01,,,,,
1135.5,2.19E-01,,,,,
1136,2.36E-01,,,,,
1136.5,2.58E-01,,,,,
1137,2.80E-01,,,,,
1137.5,3.09E-01,,,,,
1138,3.39E-01,,,,,
1138.5,3.76E-01,,,,,
1139,4.14E-01,,,,,
1139.5,4.65E-01,,,,,
1140,5.15E-01,,,,,
1140.5,5.80E-01,,,,,
1141,6.44E-01,,,,,
1141.5,7.23E-01,,,,,
1142,8.01E-01,,,,,
1142.5,8.94E-01,,,,,
1143,9.86E-01,,,,,
1143.5,1.13E+00,,,,,
1144,1.27E+00,,,,,
1144.5,1.35E+00,,,,,
1145,1.43E+00,,,,,
1145.5,1.52E+00,,,,,
1146,1.61E+00,,,,,
1146.5,1.62E+00,,,,,
1147,1.64E+00,,,,,
1147.5,1.63E+00,,,,,
1148,1.62E+00,,,,,
1148.5,1.60E+00,,,,,
1149,1.58E+00,,,,,
1149.5,1.51E+00,,,,,
1150,1.43E+00,,,,,
1150.5,1.41E+00,,,,,
1151,1.39E+00,,,,,
1151.5,1.35E+00,,,,,
1152,1.31E+00,,,,,
1152.5,1.26E+00,,,,,
1153,1.20E+00,,,,,
1153.5,1.21E+00,,,,,
1154,1.21E+00,,,,,
1154.5,1.20E+00,,,,,
1155,1.19E+00,,,,,
1155.5,1.16E+00,,,,,
1156,1.14E+00,,,,,
1156.5,1.17E+00,,,,,
1157,1.20E+00,,,,,
1157.5,1.23E+00,,,,,
1158,1.27E+00,,,,,
1158.5,1.26E+00,,,,,
1159,1.26E+00,,,,,
1159.5,1.31E+00,,,,,
1160,1.35E+00,,,,,
1160.5,1.45E+00,,,,,
1161,1.55E+00,,,,,
1161.5,1.61E+00,,,,,
1162,1.67E+00,,,,,
1162.5,1.73E+00,,,,,
1163,1.79E+00,,,,,
1163.5,1.96E+00,,,,,
1164,2.12E+00,,,,,
1164.5,2.33E+00,,,,,
1165,2.55E+00,,,,,
1165.5,2.73E+00,,,,,
1166,2.90E+00,,,,,
1166.5,3.16E+00,,,,,
1167,3.41E+00,,,,,
1167.5,3.92E+00,,,,,
1168,4.42E+00,,,,,
1168.5,5.03E+00,,,,,
1169,5.63E+00,,,,,
1169.5,6.32E+00,,,,,
1170,7.01E+00,,,,,
1170.5,8.07E+00,,,,,
1171,9.13E+00,,,,,
1171.5,1.09E+01,,,,,
1172,1.27E+01,,,,,
1172.5,1.52E+01,,,,,
1173,1.77E+01,,,,,
1173.5,2.09E+01,,,,,
1174,2.40E+01,,,,,
1174.5,2.84E+01,,,,,
1175,3.29E+01,,,,,
1175.5,3.89E+01,,,,,
1176,4.50E+01,,,,,
1176.5,5.01E+01,,,,,
1177,5.52E+01,,,,,
1177.5,5.77E+01,,,,,
1178,6.02E+01,,,,,
1178.5,6.10E+01,,,,,
1179,6.18E+01,,,,,
1179.5,5.99E+01,,,,,
1180,5.80E+01,,,,,
1180.5,5.51E+01,,,,,
1181,5.22E+01,,,,,
1181.5,5.00E+01,,,,,
1182,4.79E+01,,,,,
1182.5,4.66E+01,,,,,
1183,4.54E+01,,,,,
1183.5,4.41E+01,,,,,
1184,4.28E+01,,,,,
1184.5,4.17E+01,,,,,
1185,4.07E+01,,,,,
1185.5,4.08E+01,,,,,
1186,4.08E+01,,,,,
1186.5,4.17E+01,,,,,
1187,4.25E+01,,,,,
1187.5,4.35E+01,,,,,
1188,4.44E+01,,,,,
1188.5,4.53E+01,,,,,
1189,4.61E+01,,,,,
1189.5,4.69E+01,,,,,
1190,4.77E+01,,,,,
1190.5,5.01E+01,,,,,
1191,5.25E+01,,,,,
1191.5,5.44E+01,,,,,
1192,5.64E+01,,,,,
1192.5,5.82E+01,,,,,
1193,6.00E+01,,,,,
1193.5,6.07E+01,,,,,
1194,6.14E+01,,,,,
1194.5,6.10E+01,,,,,
1195,6.05E+01,,,,,
1195.5,6.13E+01,,,,,
1196,6.22E+01,,,,,
1196.5,6.04E+01,,,,,
1197,5.86E+01,,,,,
1197.5,5.70E+01,,,,,
1198,5.53E+01,,,,,
1198.5,5.28E+01,,,,,
1199,5.03E+01,,,,,
1199.5,4.80E+01,,,,,
1200,4.56E+01,,,,,
