Wavelength (nm),iXon 897 EMCCD (Andor),ZYLA-4.2P sCMOS (Andor),Sona-2BV11 sCMOS (Andor)
478,0.876970856,0.719,0.8946
479,0.879931987,0.722,0.8957
480,0.882893119,0.725,0.8968
481,0.885406617,0.72725,0.8979
482,0.887920116,0.7295,0.899
483,0.890433614,0.73175,0.9001
484,0.892947113,0.734,0.9012
485,0.895460611,0.73625,0.9023
486,0.89797411,0.7385,0.9034
487,0.900487608,0.74075,0.9045
488,0.903001107,0.743,0.9056
489,0.905514606,0.74525,0.9067
490,0.908028104,0.7475,0.9078
491,0.910011623,0.74975,0.9089
492,0.911995142,0.752,0.91
493,0.913978661,0.75425,0.9111
494,0.91596218,0.7565,0.9122
495,0.9179457,0.75875,0.9133
496,0.919929219,0.761,0.9144
497,0.921912738,0.76325,0.9155
498,0.923896257,0.7655,0.9166
499,0.925879776,0.76775,0.9177
500,0.927863295,0.77,0.9188
501,0.92935984,0.77125,0.919211429
502,0.930856385,0.7725,0.919622857
503,0.93235293,0.77375,0.920034286
504,0.933849474,0.775,0.920445714
505,0.935346019,0.77625,0.920857143
506,0.936842564,0.7775,0.921268571
507,0.938339109,0.77875,0.92168
508,0.939835654,0.78,0.922091429
509,0.941332199,0.78125,0.922502857
510,0.942828744,0.7825,0.922914286
511,0.944009264,0.78375,0.923325714
512,0.945189784,0.785,0.923737143
513,0.946370304,0.78625,0.924148571
514,0.947550825,0.7875,0.92456
515,0.948731345,0.78875,0.924971429
516,0.949911865,0.79,0.925382857
517,0.951092385,0.79125,0.925794286
518,0.952272906,0.7925,0.926205714
519,0.953453426,0.79375,0.926617143
520,0.954633946,0.795,0.927028571
521,0.955368077,0.79585,0.92744
522,0.956102209,0.7967,0.927851429
523,0.95683634,0.79755,0.928262857
524,0.957570471,0.7984,0.928674286
525,0.958304603,0.79925,0.929085714
526,0.959038734,0.8001,0.929497143
527,0.959772865,0.80095,0.929908571
528,0.960506997,0.8018,0.93032
529,0.961241128,0.80265,0.930731429
530,0.961975259,0.8035,0.931142857
531,0.962436396,0.80435,0.931554286
532,0.962897532,0.8052,0.931965714
533,0.963358669,0.80605,0.932377143
534,0.963819805,0.8069,0.932788571
535,0.964280942,0.80775,0.9332
536,0.964742079,0.8086,0.933611429
537,0.965203215,0.80945,0.934022857
538,0.965664352,0.8103,0.934434286
539,0.966125488,0.81115,0.934845714
540,0.966586625,0.812,0.935257143
541,0.96681042,0.8125,0.935668571
542,0.967034215,0.813,0.93608
543,0.96725801,0.8135,0.936491429
544,0.967481804,0.814,0.936902857
545,0.967705599,0.8145,0.937314286
546,0.967929394,0.815,0.937725714
547,0.968153189,0.8155,0.938137143
548,0.968376984,0.816,0.938548571
549,0.968600779,0.8165,0.93896
550,0.968824573,0.817,0.939371429
551,0.968981366,0.8175,0.939782857
552,0.96913816,0.818,0.940194286
553,0.969294953,0.8185,0.940605714
554,0.969451746,0.819,0.941017143
555,0.969608539,0.8195,0.941428571
556,0.969765332,0.82,0.94184
557,0.969922125,0.8205,0.942251429
558,0.970078918,0.821,0.942662857
559,0.970235711,0.8215,0.943074286
560,0.970392504,0.822,0.943485714
561,0.970346371,0.82195,0.943897143
562,0.970300238,0.8219,0.944308571
563,0.970254104,0.82185,0.94472
564,0.970207971,0.8218,0.945131429
565,0.970161837,0.82175,0.945542857
566,0.970115704,0.8217,0.945954286
567,0.970069571,0.82165,0.946365714
568,0.970023437,0.8216,0.946777143
569,0.969977304,0.82155,0.947188571
570,0.969931171,0.8215,0.9476
571,0.969896768,0.82145,0.94684
572,0.969862365,0.8214,0.94608
573,0.969827962,0.82135,0.94532
574,0.969793559,0.8213,0.94456
575,0.969759156,0.82125,0.9438
576,0.969724753,0.8212,0.94304
577,0.96969035,0.82115,0.94228
578,0.969655947,0.8211,0.94152
579,0.969621544,0.82105,0.94076
580,0.969587141,0.821,0.94
581,0.969414984,0.82075,0.93924
582,0.969242828,0.8205,0.93848
583,0.969070671,0.82025,0.93772
584,0.968898515,0.82,0.93696
585,0.968726358,0.81975,0.9362
586,0.968554202,0.8195,0.93544
587,0.968382045,0.81925,0.93468
588,0.968209889,0.819,0.93392
589,0.968037732,0.81875,0.93316
590,0.967865576,0.8185,0.9324
591,0.967638684,0.81825,0.93164
592,0.967411791,0.818,0.93088
593,0.967184899,0.81775,0.93012
594,0.966958007,0.8175,0.92936
595,0.966731115,0.81725,0.9286
596,0.966504223,0.817,0.92784
597,0.966277331,0.81675,0.92708
598,0.966050439,0.8165,0.92632
599,0.965823546,0.81625,0.92556
600,0.965596654,0.816,0.9248
601,0.965246805,0.8157,0.924982
602,0.964896957,0.8154,0.925164
603,0.964547108,0.8151,0.925346
604,0.964197259,0.8148,0.925528
605,0.96384741,0.8145,0.92571
606,0.963497562,0.8142,0.925892
607,0.963147713,0.8139,0.926074
608,0.962797864,0.8136,0.926256
609,0.962448015,0.8133,0.926438
610,0.962098167,0.813,0.92662
611,0.961676993,0.8127,0.926802
612,0.96125582,0.8124,0.926984
613,0.960834647,0.8121,0.927166
614,0.960413474,0.8118,0.927348
615,0.9599923,0.8115,0.92753
616,0.959571127,0.8112,0.927712
617,0.959149954,0.8109,0.927894
618,0.958728781,0.8106,0.928076
619,0.958307608,0.8103,0.928258
620,0.957886434,0.81,0.92844
621,0.957417305,0.8095,0.928622
622,0.956948176,0.809,0.928804
623,0.956479047,0.8085,0.928986
624,0.956009917,0.808,0.929168
625,0.955540788,0.8075,0.92935
626,0.955071659,0.807,0.929532
627,0.95460253,0.8065,0.929714
628,0.9541334,0.806,0.929896
629,0.953664271,0.8055,0.930078
630,0.953195142,0.805,0.93026
631,0.952671295,0.8045,0.930442
632,0.952147449,0.804,0.930624
633,0.951623602,0.8035,0.930806
634,0.951099756,0.803,0.930988
635,0.95057591,0.8025,0.93117
636,0.950052063,0.802,0.931352
637,0.949528217,0.8015,0.931534
638,0.94900437,0.801,0.931716
639,0.948480524,0.8005,0.931898
640,0.947956677,0.8,0.93208
641,0.947303076,0.799,0.932262
642,0.946649475,0.798,0.932444
643,0.945995874,0.797,0.932626
644,0.945342273,0.796,0.932808
645,0.944688672,0.795,0.93299
646,0.944035071,0.794,0.933172
647,0.94338147,0.793,0.933354
648,0.942727868,0.792,0.933536
649,0.942074267,0.791,0.933718
650,0.941420666,0.79,0.9339
651,0.940716671,0.789,0.932034
652,0.940012675,0.788,0.930168
653,0.939308679,0.787,0.928302
654,0.938604684,0.786,0.926436
655,0.937900688,0.785,0.92457
656,0.937196693,0.784,0.922704
657,0.936492697,0.783,0.920838
658,0.935788701,0.782,0.918972
659,0.935084706,0.781,0.917106
660,0.93438071,0.78,0.91524
661,0.933536529,0.7785,0.913374
662,0.932692347,0.777,0.911508
663,0.931848166,0.7755,0.909642
664,0.931003984,0.774,0.907776
665,0.930159803,0.7725,0.90591
666,0.929315622,0.771,0.904044
667,0.92847144,0.7695,0.902178
668,0.927627259,0.768,0.900312
669,0.926783077,0.7665,0.898446
670,0.925938896,0.765,0.89658
671,0.925049191,0.7635,0.894714
672,0.924159485,0.762,0.892848
673,0.92326978,0.7605,0.890982
674,0.922380075,0.759,0.889116
675,0.92149037,0.7575,0.88725
676,0.920600665,0.756,0.885384
677,0.91971096,0.7545,0.883518
678,0.918821254,0.753,0.881652
679,0.917931549,0.7515,0.879786
680,0.917041844,0.75,0.87792
681,0.916095587,0.7485,0.876054
682,0.915149329,0.747,0.874188
683,0.914203072,0.7455,0.872322
684,0.913256815,0.744,0.870456
685,0.912310557,0.7425,0.86859
686,0.9113643,0.741,0.866724
687,0.910418043,0.7395,0.864858
688,0.909471785,0.738,0.862992
689,0.908525528,0.7365,0.861126
690,0.907579271,0.735,0.85926
691,0.906487298,0.7335,0.857394
692,0.905395325,0.732,0.855528
693,0.904303352,0.7305,0.853662
694,0.90321138,0.729,0.851796
695,0.902119407,0.7275,0.84993
696,0.901027434,0.726,0.848064
697,0.899935461,0.7245,0.846198
698,0.898843489,0.723,0.844332
699,0.897751516,0.7215,0.842466
700,0.896659543,0.72,0.8406
701,0.895454441,0.718,0.838334
702,0.89424934,0.716,0.836068
703,0.893044238,0.714,0.833802
704,0.891839136,0.712,0.831536
705,0.890634034,0.71,0.82927
706,0.889428933,0.708,0.827004
707,0.888223831,0.706,0.824738
708,0.887018729,0.704,0.822472
709,0.885813628,0.702,0.820206
710,0.884608526,0.7,0.81794
711,0.883242936,0.698,0.815674
712,0.881877347,0.696,0.813408
713,0.880511758,0.694,0.811142
714,0.879146168,0.692,0.808876
715,0.877780579,0.69,0.80661
716,0.876414989,0.688,0.804344
717,0.8750494,0.686,0.802078
718,0.873683811,0.684,0.799812
719,0.872318221,0.682,0.797546
720,0.870952632,0.68,0.79528
721,0.869496672,0.678,0.793014
722,0.868040713,0.676,0.790748
723,0.866584753,0.674,0.788482
724,0.865128793,0.672,0.786216
725,0.863672834,0.67,0.78395
726,0.862216874,0.668,0.781684
727,0.860760915,0.666,0.779418
728,0.859304955,0.664,0.777152
729,0.857848996,0.662,0.774886
730,0.856393036,0.66,0.77262
731,0.854838067,0.658,0.770354
732,0.853283098,0.656,0.768088
733,0.851728129,0.654,0.765822
734,0.85017316,0.652,0.763556
735,0.848618191,0.65,0.76129
736,0.847063222,0.648,0.759024
737,0.845508253,0.646,0.756758
738,0.843953284,0.644,0.754492
739,0.842398315,0.642,0.752226
740,0.840843346,0.64,0.74996
741,0.839107003,0.6375,0.747694
742,0.837370659,0.635,0.745428
743,0.835634316,0.6325,0.743162
744,0.833897972,0.63,0.740896
745,0.832161629,0.6275,0.73863
746,0.830425285,0.625,0.736364
747,0.828688942,0.6225,0.734098
748,0.826952598,0.62,0.731832
749,0.825216255,0.6175,0.729566
750,0.823479911,0.615,0.7273
751,0.821587415,0.6125,0.72561
752,0.819694919,0.61,0.72392
753,0.817802423,0.6075,0.72223
754,0.815909926,0.605,0.72054
755,0.81401743,0.6025,0.71885
756,0.812124934,0.6,0.71716
757,0.810232438,0.5975,0.71547
758,0.808339942,0.595,0.71378
759,0.806447445,0.5925,0.71209
760,0.804554949,0.59,0.7104
761,0.802473671,0.5875,0.70871
762,0.800392392,0.585,0.70702
763,0.798311114,0.5825,0.70533
764,0.796229835,0.58,0.70364
765,0.794148557,0.5775,0.70195
766,0.792067278,0.575,0.70026
767,0.789986,0.5725,0.69857
768,0.787904721,0.57,0.69688
769,0.785823443,0.5675,0.69519
770,0.783742165,0.565,0.6935
771,0.781544075,0.5625,0.69181
772,0.779345985,0.56,0.69012
773,0.777147895,0.5575,0.68843
774,0.774949806,0.555,0.68674
775,0.772751716,0.5525,0.68505
776,0.770553626,0.55,0.68336
777,0.768355537,0.5475,0.68167
778,0.766157447,0.545,0.67998
779,0.763959357,0.5425,0.67829
780,0.761761267,0.54,0.6766
781,0.759442666,0.53725,0.67491
782,0.757124064,0.5345,0.67322
783,0.754805462,0.53175,0.67153
784,0.75248686,0.529,0.66984
785,0.750168259,0.52625,0.66815
786,0.747849657,0.5235,0.66646
787,0.745531055,0.52075,0.66477
788,0.743212453,0.518,0.66308
789,0.740893852,0.51525,0.66139
790,0.73857525,0.5125,0.6597
791,0.736083876,0.50975,0.65801
792,0.733592502,0.507,0.65632
793,0.731101128,0.50425,0.65463
794,0.728609754,0.5015,0.65294
795,0.72611838,0.49875,0.65125
796,0.723627006,0.496,0.64956
797,0.721135632,0.49325,0.64787
798,0.718644258,0.4905,0.64618
799,0.716152884,0.48775,0.64449
800,0.71366151,0.485,0.6428
801,0.711013343,0.4825,0.640068
802,0.708365176,0.48,0.637336
803,0.705717009,0.4775,0.634604
804,0.703068842,0.475,0.631872
805,0.700420674,0.4725,0.62914
806,0.697772507,0.47,0.626408
807,0.69512434,0.4675,0.623676
808,0.692476173,0.465,0.620944
809,0.689828006,0.4625,0.618212
810,0.687179839,0.46,0.61548
811,0.684361978,0.4575,0.612748
812,0.681544118,0.455,0.610016
813,0.678726257,0.4525,0.607284
814,0.675908397,0.45,0.604552
815,0.673090536,0.4475,0.60182
816,0.670272676,0.445,0.599088
817,0.667454815,0.4425,0.596356
818,0.664636955,0.44,0.593624
819,0.661819094,0.4375,0.590892
820,0.659001234,0.435,0.58816
821,0.656089912,0.43225,0.585428
822,0.65317859,0.4295,0.582696
823,0.650267268,0.42675,0.579964
824,0.647355946,0.424,0.577232
825,0.644444624,0.42125,0.5745
826,0.641533303,0.4185,0.571768
827,0.638621981,0.41575,0.569036
828,0.635710659,0.413,0.566304
829,0.632799337,0.41025,0.563572
830,0.629888015,0.4075,0.56084
831,0.626886311,0.40475,0.558108
832,0.623884606,0.402,0.555376
833,0.620882902,0.39925,0.552644
834,0.617881198,0.3965,0.549912
835,0.614879494,0.39375,0.54718
836,0.611877789,0.391,0.544448
837,0.608876085,0.38825,0.541716
838,0.605874381,0.3855,0.538984
839,0.602872676,0.38275,0.536252
840,0.599870972,0.38,0.53352
841,0.596742001,0.37725,0.530788
842,0.593613029,0.3745,0.528056
843,0.590484058,0.37175,0.525324
844,0.587355087,0.369,0.522592
845,0.584226115,0.36625,0.51986
846,0.581097144,0.3635,0.517128
847,0.577968173,0.36075,0.514396
848,0.574839201,0.358,0.511664
849,0.57171023,0.35525,0.508932
850,0.568581259,0.3525,0.5062
851,0.565369269,0.34975,0.503006
852,0.56215728,0.347,0.499812
853,0.558945291,0.34425,0.496618
854,0.555733302,0.3415,0.493424
855,0.552521313,0.33875,0.49023
856,0.549309323,0.336,0.487036
857,0.546097334,0.33325,0.483842
858,0.542885345,0.3305,0.480648
859,0.539673356,0.32775,0.477454
860,0.536461367,0.325,0.47426
861,0.533165153,0.3225,0.471066
862,0.529868939,0.32,0.467872
863,0.526572725,0.3175,0.464678
864,0.523276511,0.315,0.461484
865,0.519980297,0.3125,0.45829
866,0.516684083,0.31,0.455096
867,0.513387869,0.3075,0.451902
868,0.510091655,0.305,0.448708
869,0.506795441,0.3025,0.445514
870,0.503499227,0.3,0.44232
871,0.500179644,0.2975,0.439126
872,0.496860062,0.295,0.435932
873,0.493540479,0.2925,0.432738
874,0.490220897,0.29,0.429544
875,0.486901315,0.2875,0.42635
876,0.483581732,0.285,0.423156
877,0.48026215,0.2825,0.419962
878,0.476942567,0.28,0.416768
879,0.473622985,0.2775,0.413574
880,0.470303403,0.275,0.41038
881,0.466979516,0.2725,0.407186
882,0.463655629,0.27,0.403992
883,0.460331743,0.2675,0.400798
884,0.457007856,0.265,0.397604
885,0.453683969,0.2625,0.39441
886,0.450360083,0.26,0.391216
887,0.447036196,0.2575,0.388022
888,0.44371231,0.255,0.384828
889,0.440388423,0.2525,0.381634
890,0.437064536,0.25,0.37844
891,0.433719135,0.2475,0.375246
892,0.430373733,0.245,0.372052
893,0.427028332,0.2425,0.368858
894,0.42368293,0.24,0.365664
895,0.420337528,0.2375,0.36247
896,0.416992127,0.235,0.359276
897,0.413646725,0.2325,0.356082
898,0.410301324,0.23,0.352888
899,0.406955922,0.2275,0.349694
900,0.403610521,0.225,0.3465
901,0.400282946,0.2225,0.344054
902,0.39695537,0.22,0.341608
903,0.393627795,0.2175,0.339162
904,0.39030022,0.215,0.336716
905,0.386972645,0.2125,0.33427
906,0.38364507,0.21,0.331824
907,0.380317495,0.2075,0.329378
908,0.37698992,0.205,0.326932
909,0.373662345,0.2025,0.324486
910,0.37033477,0.2,0.32204
911,0.367034252,0.1975,0.319594
912,0.363733733,0.195,0.317148
913,0.360433215,0.1925,0.314702
914,0.357132697,0.19,0.312256
915,0.353832179,0.1875,0.30981
916,0.350531661,0.185,0.307364
917,0.347231142,0.1825,0.304918
918,0.343930624,0.18,0.302472
919,0.340630106,0.1775,0.300026
920,0.337329588,0.175,0.29758
921,0.334108387,0.173,0.295134
922,0.330887185,0.171,0.292688
923,0.327665984,0.169,0.290242
924,0.324444783,0.167,0.287796
925,0.321223582,0.165,0.28535
926,0.318002381,0.163,0.282904
927,0.31478118,0.161,0.280458
928,0.311559979,0.159,0.278012
929,0.308338778,0.157,0.275566
930,0.305117577,0.155,0.27312
931,0.301994129,0.153,0.270674
932,0.298870681,0.151,0.268228
933,0.295747233,0.149,0.265782
934,0.292623785,0.147,0.263336
935,0.289500337,0.145,0.26089
936,0.286376889,0.143,0.258444
937,0.283253441,0.141,0.255998
938,0.280129994,0.139,0.253552
939,0.277006546,0.137,0.251106
940,0.273883098,0.135,0.24866
941,0.270850648,0.13325,0.246214
942,0.267818199,0.1315,0.243768
943,0.264785749,0.12975,0.241322
944,0.261753299,0.128,0.238876
945,0.25872085,0.12625,0.23643
946,0.2556884,0.1245,0.233984
947,0.25265595,0.12275,0.231538
948,0.249623501,0.121,0.229092
949,0.246591051,0.11925,0.226646
950,0.243558602,0.1175,0.2242
951,0.240647902,0.11575,0.221754
952,0.237737202,0.114,0.219308
953,0.234826502,0.11225,0.216862
954,0.231915802,0.1105,0.214416
955,0.229005102,0.10875,0.21197
956,0.226094402,0.107,0.209524
957,0.223183702,0.10525,0.207078
958,0.220273002,0.1035,0.204632
959,0.217362302,0.10175,0.202186
960,0.214451602,0.1,0.19974
961,0.21167493,0.0985,0.197294
962,0.208898259,0.097,0.194848
963,0.206121587,0.0955,0.192402
964,0.203344915,0.094,0.189956
965,0.200568243,0.0925,0.18751
966,0.197791572,0.091,0.185064
967,0.1950149,0.0895,0.182618
968,0.192238228,0.088,0.180172
969,0.189461556,0.0865,0.177726
970,0.186684884,0.085,0.17528
971,0.184076071,0.0835,0.172834
972,0.181467258,0.082,0.170388
973,0.178858444,0.0805,0.167942
974,0.176249631,0.079,0.165496
975,0.173640818,0.0775,0.16305
976,0.171032004,0.076,0.160604
977,0.168423191,0.0745,0.158158
978,0.165814378,0.073,0.155712
979,0.163205564,0.0715,0.153266
980,0.160596751,0.07,0.15082
981,0.158164404,0.06875,0.148374
982,0.155732058,0.0675,0.145928
983,0.153299712,0.06625,0.143482
984,0.150867365,0.065,0.141036
985,0.148435019,0.06375,0.13859
986,0.146002672,0.0625,0.136144
987,0.143570326,0.06125,0.133698
988,0.141137979,0.06,0.131252
989,0.138705633,0.05875,0.128806
990,0.136273286,0.0575,0.12636
991,0.134017394,0.05625,0.123914
992,0.131761503,0.055,0.121468
993,0.129505611,0.05375,0.119022
994,0.127249719,0.0525,0.116576
995,0.124993827,0.05125,0.11413
996,0.122737935,0.05,0.111684
997,0.120482043,0.04875,0.109238
998,0.118226151,0.0475,0.106792
999,0.115970259,0.04625,0.104346
1000,0.113714367,0.045,0.1019
1001,0.111651544,0,0
1002,0.10958872,0,0
1003,0.107525896,0,0
1004,0.105463072,0,0
1005,0.103400248,0,0
1006,0.101337424,0,0
1007,0.0992746,0,0
1008,0.097211776,0,0
1009,0.095148953,0,0
1010,0.093086129,0,0
1011,0.091222512,0,0
1012,0.089358895,0,0
1013,0.087495279,0,0
1014,0.085631662,0,0
1015,0.083768045,0,0
1016,0.081904429,0,0
1017,0.080040812,0,0
1018,0.078177195,0,0
1019,0.076313579,0,0
1020,0.074449962,0,0
1021,0.072791094,0,0
1022,0.071132227,0,0
1023,0.069473359,0,0
1024,0.067814492,0,0
1025,0.066155624,0,0
1026,0.064496757,0,0
1027,0.062837889,0,0
1028,0.061179021,0,0
